road,id,model_type,name,lat,lon,length,chainage,condition
N1,774,link,Link 521,22.494583,91.7170827,0.8870000000000005,216.896,
N1,775,bridge,Bridge 569,22.4904405976324,91.7182726733934,0.003,217.377,B
N1,776,link,Link 522,22.4869441,91.7192771,0.1740000000000066,217.783,
N1,777,bridge,Bridge 152,22.4855480068965,91.7195309517241,0.0045,217.942,A
N1,778,link,Link 523,22.4854163,91.7195549,0.29699999999999704,217.957,
N1,779,link,Link 524,22.48280706570156,91.72005100244988,0.6009999999999991,218.254,
N1,780,bridge,Bridge 771,22.4811642144766,91.7203633632516,0.024329999999999997,218.441,D
N1,781,bridge,Bridge 570,22.4811642144766,91.7203633632516,0.0232,218.441,B
N1,782,link,Link 525,22.4775271,91.7210549,0.025000000000005684,218.855,
N1,783,link,Link 526,22.4773049,91.7211104,0.08899999999999864,218.88,
N1,784,link,Link 527,22.4765271,91.7213327,0.8830000000000098,218.969,
N1,785,bridge,Bridge 153,22.4728530893544,91.7232633541336,0.006,219.427,A
N1,786,link,Link 528,22.4694438,91.7250549,0.13599999999999568,219.852,
N1,787,link,Link 529,22.468416,91.7255827,1.0,219.988,
N1,788,bridge,Bridge 571,22.4624386352,91.7285307,0.0232,220.725,B
N1,789,bridge,Bridge 772,22.4624386352,91.7285307,0.02432,220.725,D
N1,790,link,Link 530,22.4603056,91.7295827,0.1839999999999975,220.988,
N1,791,link,Link 531,22.4588333,91.7303604,0.02600000000001046,221.172,
N1,792,link,Link 532,22.4586389,91.7304716,0.8079999999999927,221.198,
N1,793,link,Link 533,22.45182350044248,91.7331283022124,1.0,222.006,
N1,794,bridge,Bridge 154,22.4488628503871,91.7342823894358,0.003,222.357,A
N1,795,bridge,Bridge 652,22.4460793332411,91.7353674287057,0.0263,222.687,C
N1,796,link,Link 534,22.4433886,91.7364163,0.10400000000001342,223.006,
N1,797,link,Link 535,22.4424997,91.7366663,0.03099999999997749,223.11,
N1,798,link,Link 536,22.4422219,91.7367497,0.9250000000000114,223.141,
N1,799,bridge,Bridge 155,22.4375035216216,91.7386659473513,0.003,223.743,A
N1,800,bridge,Bridge 156,22.4350737918918,91.7396527192432,0.04,224.053,A
N1,801,link,Link 537,22.4349719,91.7396941,0.13700000000000045,224.066,
N1,802,link,Link 538,22.4333049,91.7403608,0.31100000000000705,224.203,
N1,803,link,Link 539,22.4307493,91.7415274,0.042999999999977945,224.514,
N1,804,link,Link 540,22.4304438,91.7417219,0.4490000000000123,224.557,
N1,805,link,Link 541,22.4269716,91.7439997,1.0,225.006,
N1,806,bridge,Bridge 572,22.4220415536,91.7480209792,0.0351,225.702,B
N1,807,link,Link 542,22.4198882,91.7497774,0.16499999999999204,226.006,
N1,808,link,Link 543,22.4185549,91.7504722,0.038000000000010914,226.171,
N1,809,link,Link 544,22.4182771,91.7506667,0.796999999999997,226.209,
N1,810,link,Link 545,22.4119167,91.7543611,0.19999999999998863,227.006,
N1,811,link,Link 546,22.4101111,91.7544444,0.20600000000001728,227.206,
N1,812,link,Link 547,22.4084167,91.7551389,0.001999999999981128,227.412,
N1,813,link,Link 548,22.40839921010101,91.75514357643098,0.592000000000013,227.414,
